Plot #,Insect suppression treatment,Year,# horsenettle
1,Insect Suppression,2007,0
2,Control,2007,0
3,Control,2007,0
4,Insect Suppression,2007,0
5,Control,2007,0
6,Insect Suppression,2007,0
7,Control,2007,0
8,Control,2007,0
9,Insect Suppression,2007,0
10,Control,2007,0
11,Control,2007,0
12,Insect Suppression,2007,0
13,Insect Suppression,2007,0
14,Control,2007,0
15,Insect Suppression,2007,0
16,Insect Suppression,2007,0
1,Insect Suppression,2011,15
2,Control,2011,0
3,Control,2011,2
4,Insect Suppression,2011,17
5,Control,2011,10
6,Insect Suppression,2011,35
7,Control,2011,1
8,Control,2011,5
9,Insect Suppression,2011,16
10,Control,2011,7
11,Control,2011,6
12,Insect Suppression,2011,21
13,Insect Suppression,2011,25
14,Control,2011,15
15,Insect Suppression,2011,19
16,Insect Suppression,2011,34
1,Insect Suppression,2017,21
2,Control,2017,3
3,Control,2017,4
4,Insect Suppression,2017,24
5,Control,2017,26
6,Insect Suppression,2017,35
7,Control,2017,21
8,Control,2017,9
9,Insect Suppression,2017,40
10,Control,2017,38
11,Control,2017,7
12,Insect Suppression,2017,32
13,Insect Suppression,2017,10
14,Control,2017,26
15,Insect Suppression,2017,42
16,Insect Suppression,2017,36
1,Insect Suppression,2020,24
2,Control,2020,5
3,Control,2020,0
4,Insect Suppression,2020,12
5,Control,2020,32
6,Insect Suppression,2020,36
7,Control,2020,13
8,Control,2020,7
9,Insect Suppression,2020,20
10,Control,2020,17
11,Control,2020,2
12,Insect Suppression,2020,41
13,Insect Suppression,2020,42
14,Control,2020,11
15,Insect Suppression,2020,19
16,Insect Suppression,2020,7
